Data;Godzina;RCE
20230201;20;529.01
20230201;21;520.67
20230201;22;511.35
20230201;23;518.69
20230201;24;456.06
20230202;1;464.55
20230202;2;435.58
20230202;3;435.81
20230202;4;444.85
20230202;5;464.84
20230202;6;508.46
20230202;7;528.1
20230202;8;545.26
20230202;9;595.73
20230202;10;604.65
20230202;11;590.22
20230202;12;580.79
20230202;13;587.4
20230202;14;586.29
20230202;15;591.86
20230202;16;627.77
20230202;17;666.85
20230202;18;686.18
20230202;19;691.77
20230202;20;740.77
20230202;21;720.18
20230202;22;655.67
20230202;23;628.66
20230202;24;556.28
20230203;1;591.17
20230203;2;578.83
20230203;3;583.71
20230203;4;584.23
20230203;5;587.21
20230203;6;602.3
20230203;7;699.97
20230203;8;739.77
20230203;9;759.16
20230203;10;750.22
20230203;11;697.13
20230203;12;662.05
20230203;13;645.68
20230203;14;628.41
20230203;15;608.43
20230203;16;610.37
20230203;17;632.13
20230203;18;632.18
20230203;19;623.23
20230203;20;628.61
20230203;21;608.03
20230203;22;582.49
20230203;23;571.62
20230203;24;561.39
20230204;1;509.27
20230204;2;487.15
20230204;3;508.98
20230204;4;542.33
20230204;5;552.7
20230204;6;558.66
20230204;7;581.12
20230204;8;629.96
20230204;9;660.75
20230204;10;692.23
20230204;11;690.45
20230204;12;656.02
20230204;13;626.62
20230204;14;622.98
20230204;15;622.52
20230204;16;646.98
20230204;17;677.18
20230204;18;702.8
20230204;19;693.1
20230204;20;698.07
20230204;21;682.97
20230204;22;636.02
20230204;23;615.32
20230204;24;568.54
20230205;1;584.87
20230205;2;567.41
20230205;3;564.56
20230205;4;576.56
20230205;5;569.76
20230205;6;556.68
20230205;7;563.33
20230205;8;566.03
20230205;9;588.04
20230205;10;597.63
20230205;11;599.3
20230205;12;605.74
20230205;13;589.69
20230205;14;581.79
20230205;15;596.62
20230205;16;627.55
20230205;17;746.95
20230205;18;783.17
20230205;19;801.79
20230205;20;802.52
20230205;21;784.04
20230205;22;732.37
20230205;23;714.72
20230205;24;645.02
20230206;1;666.24
20230206;2;633.73
20230206;3;649.58
20230206;4;644.51
20230206;5;626.68
20230206;6;699.83
20230206;7;810.24
20230206;8;907.42
20230206;9;984.92
20230206;10;960.29
20230206;11;930.56
20230206;12;900.84
20230206;13;880.09
20230206;14;869.48
20230206;15;860.77
20230206;16;910.35
20230206;17;959.84
20230206;18;992.48
20230206;19;996.43
20230206;20;977.04
20230206;21;886.68
20230206;22;811.11
20230206;23;799.57
20230206;24;716.44
20230207;1;723.68
20230207;2;703.86
20230207;3;703.54
20230207;4;703.32
20230207;5;701.53
20230207;6;744.61
20230207;7;811.55
20230207;8;906.26
20230207;9;977.25
20230207;10;909.04
20230207;11;839.06
20230207;12;818.04
20230207;13;818.62
20230207;14;829.93
20230207;15;830.1
20230207;16;824.28
20230207;17;899.11
20230207;18;971.72
20230207;19;964.49
20230207;20;981.32
20230207;21;898.71
20230207;22;813.31
20230207;23;805.03
20230207;24;755.41
20230208;1;781.59
20230208;2;766.94
20230208;3;770.94
20230208;4;767.73
20230208;5;739.05
20230208;6;750.24
20230208;7;818.43
20230208;8;895.41
20230208;9;918.18
20230208;10;850.09
20230208;11;756.57
20230208;12;734.18
20230208;13;734.6
20230208;14;740.3
20230208;15;786.61
20230208;16;797.07
20230208;17;847.28
20230208;18;862.34
20230208;19;864.66
20230208;20;851.67
20230208;21;808.38
20230208;22;722.8
20230208;23;728.48
20230208;24;635.45
20230209;1;601.81
20230209;2;593.01
20230209;3;583.86
20230209;4;584.29
20230209;5;600.79
20230209;6;640.04
20230209;7;716.86
20230209;8;769.29
20230209;9;782.89
20230209;10;736.07
20230209;11;624.94
20230209;12;602.69
20230209;13;599.71
20230209;14;616.12
20230209;15;646.78
20230209;16;707.25
20230209;17;773.27
20230209;18;783.74
20230209;19;768.12
20230209;20;790.88
20230209;21;748.51
20230209;22;653.35
20230209;23;611.53
20230209;24;538.61
20230210;1;531.93
20230210;2;523.34
20230210;3;521.38
20230210;4;521.77
20230210;5;541.29
20230210;6;557.14
20230210;7;723.34
20230210;8;707.43
20230210;9;699.94
20230210;10;693.54
20230210;11;620.8
20230210;12;583.73
20230210;13;565.87
20230210;14;600.62
20230210;15;606.97
20230210;16;661.92
20230210;17;714.9
20230210;18;740.21
20230210;19;739.92
20230210;20;665.3
20230210;21;621.8
20230210;22;570.77
20230210;23;531.68
20230210;24;468.05
20230211;1;470.04
20230211;2;446.25
20230211;3;427.09
20230211;4;420.05
20230211;5;416.09
20230211;6;412.15
20230211;7;415.77
20230211;8;442.38
20230211;9;483.43
20230211;10;509.78
20230211;11;502.41
20230211;12;501.08
20230211;13;539.76
20230211;14;540.92
20230211;15;541.57
20230211;16;545.84
20230211;17;554.55
20230211;18;647.13
20230211;19;659.83
